aa_ID,aa_DOI,aa_URL,datafile_name
8685,10.1257/aer.20101199,/content/file?id=6707,aer_20101199_data.zip
8789,10.1257/mic.20140254,/content/file?id=6880,mic_20140254_data.zip
9156,10.1257/app.20170453,NULL,app_20170453_data.zip
9829,10.1257/aer.20130470,,aer_20130470_data.zip
9965,10.1257/aer.20151507,/content/file?id=8463,aer_20151507_data.zip
9966,10.1257/aer.20170866,/content/file?id=8464,aer_20170866_data.zip
10072,10.1257/aer.20180277,/content/file?id=8578,aer_20180277_data.zip
10083,10.1257/mac.20160085,/content/file?id=8548,mac_20160085_data.zip
10085,10.1257/mac.20170114,/content/file?id=8549,mac_20170114_data.zip
10086,10.1257/mac.20170189,/content/file?id=8551,mac_20170189_data.zip
10106,10.1257/mac.20170402,,mac_20170402_data.zip
10259,10.1257/pol.20160373,/content/file?id=8887,pol_20160373_data.zip
10541,10.1257/mac.20160371,/content/file?id=9291,mac_20160371_data.zip
11266,10.1257/mic.20170112,/content/file?id=10249,mic_20170112_data.zip
11339,10.1257/aer.20161720,/content/file?id=10334,aer_20161720_data.zip
11538,10.1257/app.20170487,/content/file?id=10643,app_20170487_data.zip
11639,10.1257/mic.20170389,,mic_20170389_data.zip
11642,10.1257/mic.20170193,,mic_20170193_data.zip
11646,10.1257/mic.20180317,,mic_20180317_data.zip
11649,10.1257/mic.20180040,,mic_20180040_data.zip
11652,10.1257/aer.20181714,,aer_20181714_data.zip
11655,10.1257/aer.20180608,,aer_20180608_data.zip
11661,10.1257/aer.20181164,,aer_20181164_data.zip
11664,10.1257/aer.20171400,,aer_20171400_data.zip
11668,10.1257/aer.20181480,,aer_20181480_data.zip
11671,10.1257/aer.20161218,,aer_20161218_data.zip
11674,10.1257/aer.20180174,,aer_20180174_data.zip
11677,10.1257/aer.20180771,,aer_20180771_data.zip
11683,10.1257/pol.20170020,,pol_20170020_data.zip
11684,10.1257/pol.20180374,,pol_20180374_data.zip
11686,10.1257/jep.33.4.187,,jep_33_4_187_data.zip
11691,10.1257/jep.33.4.51,,jep_33_4_51_data.zip
11695,10.1257/jep.33.4.100,,jep_33_4_100_data.zip
11706,10.1257/pol.20170144,,pol_20170144_data.zip
11709,10.1257/pol.20170306,,pol_20170306_data.zip
11712,10.1257/pol.20170588,,pol_20170588_data.zip
11715,10.1257/pol.20170688,,pol_20170688_data.zip
11720,10.1257/pol.20170069,,pol_20170069_data.zip
11723,10.1257/pol.20180027,,pol_20180027_data.zip
11726,10.1257/pol.20180076,,pol_20180076_data.zip
11736,10.1257/pol.20150024,,pol_20150024_data.zip
11739,10.1257/pol.20170441,,pol_20170441_data.zip
